                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2354,                 3.6116,                 1.2931,                0.00333,                      1,                0.48612,                0.30936,                 0.9494,                 3.3937,                 1.0563,                0.00016,                0.00016,                0.00016
                      2,                0.99806,                 2.1134,                 1.0044,                0.00874,                      1,                0.98443,                0.64081,                 0.8927,                 2.9666,                0.93238,             0.00033663,             0.00033663,             0.00033663
                      3,                0.92063,                 1.4862,                0.97444,                      1,                0.26415,                0.94688,                0.61308,                0.99263,                 2.8857,                0.96744,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.0045,                 1.4382,                0.97955,                      1,                0.21483,                0.95616,                0.55022,                 1.0542,                 3.0524,                0.99856,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.0285,                  1.466,                 1.0104,                 0.8099,                0.31199,                 0.6041,                0.38688,                 1.0748,                 3.0047,                 1.0265,             0.00084515,             0.00084515,             0.00084515
                      6,                0.98377,                 1.4026,                0.98273,                      1,                0.52756,                0.94007,                0.55147,                 1.2126,                 2.7987,                 1.1661,              0.0010075,              0.0010075,              0.0010075
                      7,                0.99661,                 1.3935,                 1.0333,                0.93068,                0.32787,                0.84436,                0.50524,                 1.1236,                  2.775,                 1.1301,              0.0011663,              0.0011663,              0.0011663
                      8,                0.94959,                 1.2615,                0.98835,                0.84497,                0.43902,                0.81582,                0.53751,                 1.1627,                 2.5988,                 1.1559,              0.0013216,              0.0013216,              0.0013216
                      9,                0.97721,                  1.254,                 1.0288,                0.82946,                0.87805,                0.89301,                 0.6038,                 1.1113,                 2.0779,                 1.1568,              0.0014733,              0.0014733,              0.0014733
                     10,                0.90428,                 1.1263,                  1.019,                0.72701,                0.90244,                 0.8848,                0.58553,                 1.1384,                 1.5826,                  1.176,              0.0016214,              0.0016214,              0.0016214
                     11,                0.93536,                 1.1189,                 0.9837,                0.87689,                0.87805,                0.94744,                0.57724,                 1.3109,                 1.5822,                 1.2569,               0.001766,               0.001766,               0.001766
                     12,                0.95438,                 1.1163,                 1.0246,                 0.6827,                0.80488,                0.86322,                 0.5358,                 1.3179,                 1.4241,                 1.2803,              0.0017822,              0.0017822,              0.0017822
                     13,                0.95523,                 1.1384,                  1.027,                0.66234,                0.68293,                0.75692,                0.49834,                 1.1537,                 1.6257,                 1.1578,              0.0017822,              0.0017822,              0.0017822
                     14,                0.99324,                 1.0854,                 1.0303,                0.60881,                0.70732,                0.70252,                0.37623,                 1.4505,                 1.9182,                 1.3362,              0.0017624,              0.0017624,              0.0017624
                     15,                0.89044,                 1.0614,                0.98953,                0.85296,                0.60976,                 0.8264,                0.54113,                   1.15,                 1.6406,                 1.1118,              0.0017426,              0.0017426,              0.0017426
                     16,                0.98575,                 1.0403,                 1.0239,                0.81254,                      1,                 0.9255,                0.60273,                 1.1398,                 1.1746,                 1.1339,              0.0017228,              0.0017228,              0.0017228
                     17,                0.96477,                 1.0447,                0.98999,                0.88192,                0.97561,                 0.9477,                0.59165,                 1.1375,                 1.2307,                 1.1485,               0.001703,               0.001703,               0.001703
                     18,                0.94041,                 1.0411,                0.99829,                0.95447,                0.97561,                 0.9903,                 0.6512,                 1.1135,                 1.1029,                 1.1365,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.9132,                0.91904,                0.99102,                0.90866,                0.72799,                0.89679,                0.52899,                 1.2327,                 1.2549,                 1.1629,              0.0016634,              0.0016634,              0.0016634
                     20,                0.92021,                0.98218,                 1.0322,                0.94278,                0.85366,                0.95562,                 0.6254,                 1.1619,                 1.0318,                 1.2178,              0.0016436,              0.0016436,              0.0016436
                     21,                 0.8891,                0.88591,                 1.0014,                0.96868,                0.97561,                0.98952,                0.68682,                 1.1211,                0.94664,                 1.1418,              0.0016238,              0.0016238,              0.0016238
                     22,                0.94978,                0.94337,                 1.0561,                0.92118,                0.87805,                0.95405,                0.69742,                 1.1302,                 1.0491,                 1.1514,               0.001604,               0.001604,               0.001604
                     23,                0.90225,                 0.8289,                0.99781,                0.91181,                0.97561,                0.98577,                0.69542,                  1.103,                0.94645,                 1.1098,              0.0015842,              0.0015842,              0.0015842
                     24,                0.92537,                0.80734,                 1.0149,                0.66216,                0.80488,                0.79046,                0.47105,                 1.2888,                 1.3284,                 1.2134,              0.0015644,              0.0015644,              0.0015644
                     25,                0.87364,                0.83387,                  1.007,                0.60367,                0.66883,                0.73931,                 0.4858,                 1.1708,                 1.5103,                 1.1507,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.8532,                0.79703,                0.98788,                0.99925,                      1,                  0.995,                0.70938,                 1.0632,                0.77761,                 1.0575,              0.0015248,              0.0015248,              0.0015248
                     27,                0.83575,                0.77021,                0.97573,                0.99402,                      1,                  0.995,                0.69573,                 1.0864,                0.76083,                 1.0983,               0.001505,               0.001505,               0.001505
                     28,                0.83662,                 0.7083,                0.98336,                0.95223,                0.97246,                0.99126,                0.69446,                 1.0038,                0.73178,                 1.0814,              0.0014852,              0.0014852,              0.0014852
                     29,                0.79585,                0.72417,                0.96191,                0.97467,                0.93858,                0.98917,                0.67349,                 1.1031,                 0.8083,                 1.1303,              0.0014654,              0.0014654,              0.0014654
                     30,                0.85139,                 0.7569,                      1,                0.99342,                0.92683,                0.98699,                0.63572,                 1.1502,                0.90853,                 1.1642,              0.0014456,              0.0014456,              0.0014456
                     31,                0.81597,                0.73519,                0.98119,                0.97598,                0.99133,                0.99167,                0.67753,                 1.1199,                0.67575,                 1.1297,              0.0014258,              0.0014258,              0.0014258
                     32,                0.88991,                 0.6841,                0.99838,                0.93078,                      1,                0.98939,                0.67049,                 1.0457,                0.70545,                 1.1257,               0.001406,               0.001406,               0.001406
                     33,                0.80901,                0.67476,                0.94273,                0.90341,                0.95122,                0.96893,                0.66894,                 1.0624,                0.72271,                 1.1405,              0.0013862,              0.0013862,              0.0013862
